idx,lower,upper,steps,time
57, -6.278735399246216, -5.396470304597629, 1, 1.189565009
58, -4.5091564655303955, 1.0186545283724282, 48, 60.351114554
59, -4.223321437835693, -2.683368692009749, 1, 0.63372469
60, -0.9996633529663086, 5.469675303801784, 47, 60.66542941
61, -2.6531877517700195, 0.12732070022542663, 46, 60.05992922
62, -0.9954628944396973, 1.1133183204087325, 49, 60.001442731
63, -2.2006020545959473, 4.52273610514034, 46, 60.882715757
64, -4.106511116027832, -1.4610176791014164, 1, 0.786153229
65, -3.2479135990142822, -2.168220562664432, 1, 0.617566765
66, 0.7765216827392578, 5.210400839284266, 1, 0.79889867
67, -4.415700554847717, -0.20238111451634655, 1, 0.796861523
68, -6.528690576553345, -4.651619565828341, 1, 0.781672401
69, -5.687839984893799, -4.876005886997022, 1, 0.748541914
70, -6.308128714561462, -4.696213631037286, 1, 0.762974595
71, -6.14151930809021, -2.74849638489189, 1, 0.647937528
72, -7.516734600067139, -7.156032397027284, 1, 0.748714508
73, -2.294018268585205, -1.2289927098915183, 1, 0.76321556
74, -0.8863472938537598, 0.9460201757633686, 48, 60.87945139
75, -5.312273740768433, -1.7588524063590345, 1, 0.734108003
76, -6.938097715377808, -4.721415222142058, 1, 0.614739442
77, -6.46832013130188, -4.362551917539075, 1, 0.79350313
78, -2.2663917541503906, 1.2501307088610014, 45, 60.536535527
79, -2.094916343688965, 1.53992159515803, 50, 60.235399065
80, -4.821531534194946, -3.2591305759601696, 1, 0.596670542
81, -3.8832364082336426, -1.619539121126269, 1, 0.637541661
82, -5.554899573326111, -2.337236262134039, 1, 0.848769565
83, -7.8743956089019775, -6.787195642061578, 1, 0.786066183
84, -3.3531289100646973, 0.8114439839938745, 46, 60.949891747
85, -4.231473922729492, -1.3806095797943558, 1, 0.750803034
86, -6.307982444763184, -5.687668412494665, 1, 0.762705017
87, -6.982924938201904, -5.107370435616378, 1, 0.602887527
88, -4.174992322921753, -2.920291893678184, 1, 0.766905448
89, -7.149501323699951, -5.049938659692485, 1, 0.800345269
90, -6.37310254573822, -1.3905763704608178, 1, 0.79455696
91, -5.7875025272369385, -4.717365699901411, 1, 0.769860069
92, -8.255048036575317, -5.533731059109004, 1, 0.793901643
93, -0.22661733627319336, 4.7868362211802395, 47, 60.710498102
94, -5.014305353164673, -3.4742142533904965, 1, 1.243401878
95, -2.439861536026001, -0.7196149191794707, 1, 0.723928617
96, -3.6799798011779785, -2.140097631435768, 1, 0.753278513
97, -1.166011095046997, 4.199787446591765, 47, 60.745435208
98, -1.0242435932159424, 1.0724833832288656, 46, 60.039461212
99, -2.743203639984131, -0.44064150909005084, 1, 0.778850101
100, -4.9673497676849365, -4.130922702271252, 1, 0.744999331
101, -5.633494853973389, -1.6738928339265975, 1, 0.766694429
102, -6.566840171813965, -5.685530032846177, 1, 0.736271618
103, -7.344762563705444, -5.760055094145614, 1, 0.748046105
104, -7.113839864730835, -6.092166855884612, 1, 0.770895164
105, -1.555305004119873, 1.0004224379693913, 46, 60.23274899
106, -4.93656063079834, -0.9426400105704102, 1, 0.66429905
107, -4.975660085678101, -3.862351665578241, 1, 0.749349992
108, -0.8695144653320312, 3.1804408629868046, 49, 60.429711259
109, -5.304857015609741, -3.060884001931316, 1, 0.792602594
110, -5.480583667755127, -3.933635418050147, 1, 0.75883504
111, -6.239445447921753, -5.222562904116183, 1, 0.786088203
112, -3.96630859375, -1.4801913315278092, 1, 0.776009102
113, -6.185506343841553, -4.186766174974881, 1, 0.765666749
114, -5.448580026626587, -3.7112816885965723, 1, 0.660161001
115, -4.839453220367432, -2.8047531425515553, 1, 0.767725398
116, -1.4823360443115234, 1.1174519171486414, 47, 61.070292576
117, -4.888870716094971, -0.9925037704731547, 1, 0.814654187
118, -5.759422063827515, -4.402040165070242, 1, 0.752547227
119, -3.450840473175049, -0.3516247353273876, 1, 0.759540314
120, -4.746941328048706, -3.5704069796487357, 1, 0.753384063
121, -2.9865293502807617, -2.310322424068356, 1, 0.73274305
122, -3.436375141143799, -1.5969199500264533, 1, 0.79674112
123, -3.5796403884887695, 0.0954345931637528, 46, 60.350208279
124, -8.132643580436707, -6.209456214130765, 1, 0.775914015
125, -4.188615560531616, -0.9233102871728782, 1, 0.628222522
126, -3.491440534591675, -1.862499334631396, 1, 0.761888904
127, -3.202301502227783, -1.3569708455310932, 1, 0.793006674
128, -8.335734128952026, -7.264460767157751, 1, 0.780106687
129, -8.127538084983826, -7.3310660975396695, 1, 0.735281547
130, -7.672703504562378, -6.175473463899847, 1, 0.803864798
131, -7.438441038131714, -5.436603167962504, 1, 0.752041166
132, -7.129952430725098, -6.120890229520988, 1, 0.782607884
133, -3.7421107292175293, -2.945710738339152, 1, 0.735715304
134, -3.350008964538574, -1.8364203557852674, 1, 0.776412175
135, -6.665332078933716, -5.551471017129258, 1, 0.762440628
136, -7.151612877845764, -4.770749161685115, 1, 0.795033255
137, -7.105345726013184, -6.149396168672135, 1, 0.769056456
138, -4.914917230606079, -2.485192478664667, 1, 0.805620447
139, -8.528626680374146, -6.245034556683795, 1, 0.760543198
140, -0.020895004272460938, 3.4725936598753737, 47, 61.19473926
141, -6.212296009063721, 0.3500813699956975, 45, 60.573962465
142, -5.777391195297241, -3.2358615600775087, 1, 0.67095813
144, -6.599238872528076, -1.4643499614074749, 1, 0.793740556
145, -5.243001699447632, -3.5963310853198367, 1, 0.580593475
146, -6.0515100955963135, -1.176851410767842, 1, 0.854172795
147, -5.045668840408325, -4.050016997285447, 1, 0.755697557
148, -6.389833211898804, -5.416941740526946, 1, 0.764672833
